A2,A3,A4,A5,A6,A8,A9,A10,A11,A13,A14,A15,A16
28.46,4.0,1.0,0.0,13.0,5.0,1.0,1.0,3,0.0,290.0,2279,0
22.83,2.29,1.0,0.0,10.0,2.29,1.0,1.0,7,0.0,140.0,2384,0
56.5,16.0,1.0,0.0,7.0,0.0,1.0,1.0,15,0.0,0.0,247,0
23.75,0.71,1.0,0.0,12.0,0.25,0.0,1.0,1,0.0,240.0,4,1
25.17,6.0,1.0,0.0,1.0,1.0,1.0,1.0,3,0.0,0.0,0,0
41.33,1.0,1.0,0.0,6.0,2.25,1.0,0.0,0,0.0,0.0,300,0
37.5,1.75,2.0,2.0,1.0,0.25,1.0,0.0,0,0.0,164.0,400,1
28.25,0.875,1.0,0.0,9.0,0.96,1.0,1.0,3,0.0,396.0,0,0
29.92,1.835,1.0,0.0,1.0,4.335,1.0,0.0,0,0.0,260.0,200,0
16.92,0.5,1.0,0.0,6.0,0.165,0.0,1.0,6,0.0,240.0,35,1
22.25,0.46,1.0,0.0,8.0,0.125,0.0,0.0,0,0.0,280.0,55,1
20.42,0.835,1.0,0.0,10.0,1.585,1.0,1.0,1,0.0,0.0,0,0
34.08,6.5,1.0,0.0,0.0,0.125,1.0,0.0,0,0.0,443.0,0,1
24.75,0.54,1.0,0.0,9.0,1.0,0.0,0.0,0,0.0,120.0,1,1
22.58,10.04,1.0,0.0,13.0,0.04,1.0,1.0,9,0.0,60.0,396,0
19.5,0.29,1.0,0.0,8.0,0.29,0.0,0.0,0,0.0,280.0,364,1
42.83,4.625,1.0,0.0,10.0,4.58,1.0,0.0,0,2.0,0.0,0,0
30.83,0.0,1.0,0.0,12.0,1.25,1.0,1.0,1,0.0,202.0,0,0
20.33,10.0,1.0,0.0,1.0,1.0,1.0,1.0,4,0.0,50.0,1465,0
16.5,0.125,1.0,0.0,1.0,0.165,0.0,0.0,0,0.0,132.0,0,1
26.33,13.0,1.0,0.0,4.0,0.0,0.0,0.0,0,0.0,140.0,1110,1
27.17,1.25,1.0,0.0,5.0,0.0,0.0,1.0,1,0.0,92.0,300,1
29.42,1.25,1.0,0.0,1.0,0.25,0.0,1.0,2,0.0,400.0,108,1
26.75,4.5,2.0,2.0,1.0,2.5,0.0,0.0,0,0.0,200.0,1210,1
24.83,2.75,1.0,0.0,1.0,2.25,1.0,1.0,6,0.0,160.0,600,0
22.92,0.17,1.0,0.0,9.0,0.085,0.0,0.0,0,2.0,0.0,0,1
22.5,0.125,2.0,2.0,8.0,0.125,0.0,0.0,0,0.0,200.0,70,1
30.0,5.29,1.0,0.0,4.0,2.25,1.0,1.0,5,0.0,99.0,500,0
20.5,2.415,1.0,0.0,1.0,2.0,1.0,1.0,11,0.0,200.0,3000,0
34.75,2.5,1.0,0.0,2.0,0.5,0.0,0.0,0,0.0,348.0,0,1
18.92,9.0,1.0,0.0,0.0,0.75,1.0,1.0,2,0.0,88.0,591,0
22.67,1.585,2.0,2.0,12.0,3.085,1.0,1.0,6,0.0,80.0,0,0
33.5,1.75,1.0,0.0,13.0,4.5,1.0,1.0,4,0.0,253.0,857,0
69.17,9.0,1.0,0.0,5.0,4.0,0.0,1.0,1,0.0,70.0,6,1
23.58,0.46,2.0,2.0,12.0,2.625,1.0,1.0,6,0.0,208.0,347,1
23.25,12.625,1.0,0.0,1.0,0.125,0.0,1.0,2,0.0,0.0,5552,1
52.5,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0,1
32.83,2.5,1.0,0.0,2.0,2.75,1.0,1.0,6,0.0,160.0,2072,0
18.83,0.0,1.0,0.0,10.0,0.665,0.0,0.0,0,0.0,160.0,1,1
33.08,1.625,1.0,0.0,3.0,0.54,0.0,0.0,0,0.0,0.0,0,1
41.17,4.04,1.0,0.0,2.0,7.0,1.0,1.0,8,0.0,320.0,0,0
18.25,10.0,1.0,0.0,12.0,1.0,0.0,1.0,1,0.0,120.0,1,1
19.17,4.0,2.0,2.0,6.0,1.0,0.0,0.0,0,0.0,360.0,1000,1
26.75,2.0,1.0,0.0,3.0,0.75,0.0,0.0,0,0.0,80.0,0,1
16.33,2.75,1.0,0.0,0.0,0.665,0.0,1.0,1,0.0,80.0,21,1
28.58,3.54,1.0,0.0,6.0,0.5,1.0,0.0,0,0.0,171.0,0,1
32.25,14.0,2.0,2.0,5.0,0.0,0.0,1.0,2,0.0,160.0,1,1
51.92,6.5,1.0,0.0,6.0,3.085,0.0,0.0,0,0.0,73.0,0,1
24.58,12.5,1.0,0.0,12.0,0.875,1.0,0.0,0,0.0,260.0,0,1
31.42,15.5,1.0,0.0,1.0,0.5,1.0,0.0,0,0.0,120.0,0,1
24.5,0.5,1.0,0.0,10.0,1.5,1.0,0.0,0,0.0,280.0,824,0
22.08,11.46,1.0,0.0,8.0,1.585,0.0,0.0,0,0.0,100.0,1212,1
50.08,12.54,1.0,0.0,0.0,2.29,1.0,1.0,3,0.0,156.0,0,0
19.33,9.5,1.0,0.0,10.0,1.0,1.0,0.0,0,0.0,60.0,400,0
23.5,9.0,1.0,0.0,10.0,8.5,1.0,1.0,5,0.0,120.0,0,0
40.92,0.5,2.0,2.0,9.0,0.5,0.0,0.0,0,0.0,130.0,0,1
47.75,8.0,1.0,0.0,1.0,7.875,1.0,1.0,6,0.0,0.0,1260,0
23.58,11.5,2.0,2.0,8.0,3.0,0.0,0.0,0,0.0,20.0,16,1
17.67,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0,0.0,86.0,0,1
33.17,1.0,1.0,0.0,13.0,0.75,1.0,1.0,7,0.0,340.0,4071,0
39.92,5.0,1.0,0.0,6.0,0.21,0.0,0.0,0,0.0,550.0,0,1
39.92,0.54,2.0,2.0,0.0,0.5,1.0,1.0,3,0.0,200.0,1000,0
29.58,4.75,1.0,0.0,9.0,2.0,0.0,1.0,1,0.0,460.0,68,1
27.25,0.625,1.0,0.0,0.0,0.455,1.0,0.0,0,0.0,200.0,0,1
17.42,6.5,1.0,0.0,6.0,0.125,0.0,0.0,0,0.0,60.0,100,1
67.75,5.5,1.0,0.0,4.0,13.0,1.0,1.0,1,0.0,0.0,0,0
21.5,9.75,1.0,0.0,1.0,0.25,1.0,0.0,0,0.0,140.0,0,1
31.25,3.75,1.0,0.0,2.0,0.625,1.0,1.0,9,0.0,181.0,0,0
19.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,4,0.0,45.0,1,1
23.92,1.5,1.0,0.0,3.0,1.875,1.0,1.0,6,0.0,200.0,327,0
28.46,11.25,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,160.0,5200,1
22.58,10.75,1.0,0.0,10.0,0.415,1.0,1.0,5,0.0,0.0,560,0
36.08,2.54,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,1000,1
36.33,3.79,1.0,0.0,12.0,1.165,1.0,0.0,0,0.0,200.0,0,1
33.25,2.5,2.0,2.0,1.0,2.5,0.0,0.0,0,0.0,0.0,2,1
20.08,0.25,1.0,0.0,10.0,0.125,0.0,0.0,0,0.0,200.0,0,1
18.17,10.25,1.0,0.0,1.0,1.085,0.0,0.0,0,0.0,320.0,13,1
22.67,0.75,1.0,0.0,6.0,1.585,0.0,1.0,1,0.0,400.0,9,1
33.58,2.75,1.0,0.0,9.0,4.25,1.0,1.0,6,0.0,204.0,0,0
51.42,0.04,1.0,0.0,13.0,0.04,1.0,0.0,0,0.0,0.0,3000,0
43.0,0.29,2.0,2.0,2.0,1.75,1.0,1.0,8,0.0,100.0,375,0
28.46,0.625,1.0,0.0,8.0,0.25,0.0,0.0,0,0.0,380.0,2010,1
23.25,5.875,1.0,0.0,10.0,3.17,1.0,1.0,10,0.0,120.0,245,0
18.17,10.0,2.0,2.0,10.0,0.165,0.0,0.0,0,0.0,340.0,0,1
27.25,1.585,1.0,0.0,2.0,1.835,1.0,1.0,12,0.0,583.0,713,0
20.67,3.0,1.0,0.0,10.0,0.165,1.0,1.0,3,0.0,100.0,6,0
28.5,3.04,2.0,2.0,13.0,2.54,1.0,1.0,1,0.0,70.0,0,0
57.08,0.335,1.0,0.0,6.0,1.0,1.0,0.0,0,0.0,252.0,2197,1
34.58,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0,1.0,160.0,0,1
41.0,0.04,1.0,0.0,4.0,0.04,0.0,1.0,1,2.0,560.0,0,0
23.17,0.0,1.0,0.0,2.0,0.085,1.0,0.0,0,0.0,0.0,0,0
35.25,3.165,1.0,0.0,13.0,3.75,1.0,0.0,0,0.0,680.0,0,1
24.17,0.875,1.0,0.0,10.0,4.625,1.0,1.0,2,0.0,520.0,2000,0
58.42,21.0,1.0,0.0,6.0,10.0,1.0,1.0,13,0.0,0.0,6700,0
31.83,0.04,2.0,2.0,9.0,0.04,0.0,0.0,0,0.0,0.0,0,1
44.33,0.0,1.0,0.0,1.0,2.5,1.0,0.0,0,0.0,0.0,0,0
31.67,16.165,1.0,0.0,3.0,3.0,1.0,1.0,9,0.0,250.0,730,0
46.0,4.0,1.0,0.0,7.0,0.0,1.0,0.0,0,0.0,100.0,960,0
34.92,2.5,1.0,0.0,12.0,0.0,1.0,0.0,0,0.0,239.0,200,0
24.75,3.0,1.0,0.0,10.0,1.835,1.0,1.0,19,0.0,0.0,500,0
22.42,5.665,1.0,0.0,10.0,2.585,1.0,1.0,7,0.0,129.0,3257,0
40.33,8.125,2.0,2.0,8.0,0.165,0.0,1.0,2,0.0,160.0,18,1
31.08,1.5,2.0,2.0,12.0,0.04,0.0,0.0,0,2.0,160.0,0,1
36.67,4.415,2.0,2.0,8.0,0.25,1.0,1.0,10,0.0,320.0,0,0
44.83,7.0,2.0,2.0,1.0,1.625,0.0,0.0,0,0.0,160.0,2,1
35.17,2.5,1.0,0.0,8.0,4.5,1.0,1.0,7,0.0,150.0,1270,0
25.75,0.5,1.0,0.0,1.0,0.875,1.0,0.0,0,0.0,491.0,0,0
36.5,4.25,1.0,0.0,10.0,3.5,0.0,0.0,0,0.0,454.0,50,1
42.0,9.79,1.0,0.0,13.0,7.96,1.0,1.0,8,0.0,0.0,0,0
36.17,5.5,1.0,0.0,6.0,5.0,0.0,0.0,0,0.0,210.0,687,1
20.67,1.25,2.0,2.0,1.0,1.375,1.0,1.0,3,0.0,140.0,210,1
28.17,0.585,1.0,0.0,0.0,0.04,0.0,0.0,0,0.0,260.0,1004,1
48.08,3.75,1.0,0.0,6.0,1.0,0.0,0.0,0,0.0,100.0,2,1
28.17,0.375,1.0,0.0,10.0,0.585,1.0,1.0,4,0.0,80.0,0,0
19.58,0.585,1.0,0.0,5.0,0.0,0.0,1.0,3,0.0,350.0,769,1
35.0,3.375,1.0,0.0,1.0,8.29,0.0,0.0,0,0.0,0.0,0,1
34.5,4.04,2.0,2.0,6.0,8.5,1.0,1.0,7,0.0,195.0,0,0
24.92,1.25,1.0,0.0,5.0,0.0,1.0,0.0,0,0.0,80.0,0,1
57.42,8.5,1.0,0.0,4.0,7.0,1.0,1.0,3,0.0,0.0,0,0
23.42,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0,2.0,280.0,0,1
43.17,5.0,1.0,0.0,6.0,2.25,0.0,0.0,0,0.0,141.0,0,1
21.08,4.125,2.0,2.0,6.0,0.04,0.0,0.0,0,0.0,140.0,100,1
28.46,5.0,2.0,2.0,0.0,8.5,1.0,0.0,0,0.0,0.0,0,1
32.33,3.5,1.0,0.0,8.0,0.5,0.0,0.0,0,0.0,232.0,0,1
27.67,0.75,1.0,0.0,10.0,0.165,0.0,0.0,0,0.0,220.0,251,1
35.75,0.915,1.0,0.0,0.0,0.75,1.0,1.0,4,0.0,0.0,1583,0
25.0,12.0,1.0,0.0,8.0,2.25,1.0,1.0,2,0.0,120.0,5,1
17.25,3.0,1.0,0.0,8.0,0.04,0.0,0.0,0,0.0,160.0,40,1
34.25,1.75,1.0,0.0,12.0,0.25,1.0,0.0,0,0.0,163.0,0,1
25.08,2.54,2.0,2.0,0.0,0.25,1.0,0.0,0,0.0,370.0,0,0
49.0,1.5,1.0,0.0,7.0,0.0,1.0,0.0,0,0.0,100.0,27,1
32.75,2.335,1.0,0.0,3.0,5.75,0.0,0.0,0,0.0,292.0,0,1
28.46,0.5,1.0,0.0,1.0,0.835,1.0,0.0,0,2.0,320.0,0,1
34.08,0.08,2.0,2.0,9.0,0.04,1.0,1.0,1,0.0,280.0,2000,0
22.5,8.5,1.0,0.0,10.0,1.75,1.0,1.0,10,0.0,80.0,990,1
25.58,0.335,1.0,0.0,8.0,3.5,0.0,0.0,0,0.0,340.0,0,1
34.83,4.0,1.0,0.0,3.0,12.5,1.0,0.0,0,0.0,160.0,0,1
46.08,3.0,1.0,0.0,1.0,2.375,1.0,1.0,8,0.0,396.0,4159,0
24.08,9.0,1.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0,1
31.83,2.5,1.0,0.0,0.0,7.5,1.0,0.0,0,0.0,523.0,0,1
19.5,0.165,1.0,0.0,10.0,0.04,0.0,0.0,0,0.0,380.0,0,1
22.92,1.25,1.0,0.0,10.0,0.25,0.0,0.0,0,0.0,120.0,809,1
45.0,4.585,1.0,0.0,8.0,1.0,0.0,0.0,0,2.0,240.0,0,1
25.17,3.5,1.0,0.0,2.0,0.625,1.0,1.0,7,0.0,0.0,7059,0
21.17,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0,2.0,0.0,0,1
48.5,4.25,1.0,0.0,9.0,0.125,1.0,0.0,0,0.0,225.0,0,0
22.67,10.5,1.0,0.0,10.0,1.335,1.0,0.0,0,0.0,100.0,0,0
29.58,4.5,1.0,0.0,12.0,7.5,1.0,1.0,2,0.0,330.0,0,0
26.83,0.54,1.0,0.0,8.0,0.0,0.0,0.0,0,0.0,100.0,0,1
19.42,7.25,1.0,0.0,9.0,0.04,0.0,1.0,1,0.0,100.0,1,1
23.42,0.585,1.0,0.0,1.0,0.085,1.0,0.0,0,0.0,180.0,0,1
27.83,1.5,1.0,0.0,12.0,2.0,1.0,1.0,11,0.0,434.0,35,0
20.25,9.96,1.0,0.0,4.0,0.0,1.0,0.0,0,0.0,0.0,0,0
23.58,0.83,1.0,0.0,10.0,0.415,0.0,1.0,1,0.0,200.0,11,1
17.92,10.21,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,50,1
44.17,6.665,1.0,0.0,10.0,7.375,1.0,1.0,3,0.0,0.0,0,0
43.17,2.25,1.0,0.0,6.0,0.75,1.0,0.0,0,0.0,560.0,0,1
57.08,19.5,1.0,0.0,1.0,5.5,1.0,1.0,7,0.0,0.0,3000,0
41.5,1.54,1.0,0.0,6.0,3.5,0.0,0.0,0,0.0,216.0,0,0
23.58,0.835,1.0,0.0,6.0,0.085,0.0,0.0,0,0.0,220.0,5,1
21.0,3.0,2.0,2.0,3.0,1.085,1.0,1.0,8,0.0,160.0,1,0
27.25,1.665,1.0,0.0,2.0,5.085,1.0,1.0,9,0.0,399.0,827,0
21.83,11.0,1.0,0.0,13.0,0.29,1.0,1.0,6,0.0,121.0,0,0
56.75,12.25,1.0,0.0,9.0,1.25,1.0,1.0,4,0.0,200.0,0,0
20.67,1.835,1.0,0.0,10.0,2.085,1.0,1.0,5,0.0,220.0,2503,0
25.0,12.5,1.0,0.0,0.0,3.0,1.0,0.0,0,2.0,20.0,0,0
22.67,0.335,1.0,0.0,10.0,0.75,0.0,0.0,0,2.0,160.0,0,1
69.5,6.0,1.0,0.0,5.0,0.0,0.0,0.0,0,2.0,0.0,0,1
22.5,11.5,2.0,2.0,9.0,1.5,0.0,0.0,0,0.0,0.0,4000,1
37.58,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0,1.0,160.0,0,0
32.33,2.5,1.0,0.0,1.0,1.25,0.0,0.0,0,0.0,280.0,0,1
38.67,0.21,1.0,0.0,8.0,0.085,1.0,0.0,0,0.0,280.0,0,0
32.67,5.5,1.0,0.0,10.0,5.5,1.0,1.0,12,0.0,408.0,1000,0
50.25,0.835,1.0,0.0,0.0,0.5,0.0,0.0,0,0.0,240.0,117,1
19.17,9.5,1.0,0.0,12.0,1.5,1.0,0.0,0,0.0,120.0,2206,0
17.83,11.0,1.0,0.0,13.0,1.0,1.0,1.0,11,0.0,0.0,3000,0
17.08,0.25,1.0,0.0,10.0,0.335,0.0,1.0,4,0.0,160.0,8,1
20.17,5.625,1.0,0.0,12.0,1.71,1.0,0.0,0,2.0,120.0,0,0
22.25,9.0,1.0,0.0,0.0,0.085,0.0,0.0,0,0.0,0.0,0,1
41.58,1.04,1.0,0.0,0.0,0.665,0.0,0.0,0,0.0,240.0,237,1
24.5,2.415,2.0,2.0,1.0,0.0,0.0,0.0,0,0.0,120.0,0,1
27.25,0.29,1.0,0.0,9.0,0.125,0.0,1.0,1,0.0,272.0,108,1
30.5,6.5,1.0,0.0,1.0,4.0,1.0,1.0,7,0.0,0.0,3065,0
51.33,10.0,1.0,0.0,6.0,0.0,1.0,1.0,11,0.0,0.0,1249,0
27.33,1.665,1.0,0.0,5.0,0.0,0.0,0.0,0,0.0,340.0,1,1
27.0,1.5,2.0,2.0,12.0,0.375,1.0,0.0,0,0.0,260.0,1065,0
25.67,2.21,2.0,2.0,0.0,4.0,1.0,0.0,0,0.0,188.0,0,1
37.33,2.5,1.0,0.0,6.0,0.21,0.0,0.0,0,0.0,260.0,246,1
23.5,2.75,1.0,0.0,5.0,4.5,0.0,0.0,0,0.0,160.0,25,1
21.92,0.5,1.0,0.0,1.0,0.125,0.0,0.0,0,0.0,360.0,0,1
27.83,4.0,2.0,2.0,6.0,5.75,1.0,1.0,2,0.0,75.0,0,1
28.08,15.0,2.0,2.0,4.0,0.0,1.0,0.0,0,0.0,0.0,13212,0
17.08,0.085,2.0,2.0,1.0,0.04,0.0,0.0,0,0.0,140.0,722,1
19.5,9.585,1.0,0.0,0.0,0.79,0.0,0.0,0,0.0,80.0,350,1
39.08,6.0,1.0,0.0,9.0,1.29,1.0,1.0,5,0.0,108.0,1097,0
20.5,11.835,1.0,0.0,1.0,6.0,1.0,0.0,0,0.0,340.0,0,0
25.0,11.0,2.0,2.0,0.0,4.5,1.0,0.0,0,0.0,120.0,0,1
22.67,0.79,1.0,0.0,6.0,0.085,0.0,0.0,0,0.0,144.0,0,1
17.58,9.0,1.0,0.0,0.0,1.375,1.0,0.0,0,0.0,0.0,0,0
28.67,14.5,1.0,0.0,3.0,0.125,0.0,0.0,0,0.0,0.0,286,1
16.08,0.75,1.0,0.0,1.0,1.75,1.0,1.0,5,0.0,352.0,690,0
47.67,2.5,1.0,0.0,9.0,2.5,1.0,1.0,12,0.0,410.0,2510,0
37.75,7.0,1.0,0.0,10.0,11.5,1.0,1.0,7,0.0,300.0,5,1
19.67,0.21,1.0,0.0,10.0,0.29,1.0,1.0,11,0.0,80.0,99,0
52.42,1.5,1.0,0.0,3.0,3.75,0.0,0.0,0,0.0,0.0,350,1
16.33,0.21,1.0,0.0,0.0,0.125,0.0,0.0,0,0.0,200.0,1,1
28.46,4.0,2.0,2.0,6.0,0.085,0.0,0.0,0,0.0,411.0,0,1
39.17,1.625,1.0,0.0,1.0,1.5,1.0,1.0,10,0.0,186.0,4700,0
23.0,0.625,2.0,2.0,0.0,0.125,1.0,0.0,0,0.0,180.0,1,1
32.33,7.5,1.0,0.0,4.0,1.585,1.0,0.0,0,2.0,420.0,0,1
23.5,3.165,2.0,2.0,8.0,0.415,0.0,1.0,1,0.0,280.0,80,1
29.83,1.25,2.0,2.0,8.0,0.25,0.0,0.0,0,0.0,224.0,0,1
22.5,8.46,2.0,2.0,13.0,2.46,0.0,0.0,0,0.0,164.0,0,0
32.0,1.75,2.0,2.0,4.0,0.04,1.0,0.0,0,0.0,393.0,0,0
38.42,0.705,1.0,0.0,1.0,0.375,0.0,1.0,2,0.0,225.0,500,1
26.75,1.125,1.0,0.0,13.0,1.25,1.0,0.0,0,0.0,0.0,5298,0
34.0,5.5,2.0,2.0,1.0,1.5,0.0,0.0,0,0.0,60.0,0,1
30.25,5.5,1.0,0.0,8.0,5.5,0.0,0.0,0,2.0,100.0,0,1
